name,mac_address,encryption,wpaVersion,nbPackets,dataSize,lat,lon,firstTimeSeen,lastTimeSeen
Linksys08969,14:91:82:5D:7B:42,None,None,183,0,45.446598,-71.958088,Mon Oct 17 18:01:33 2022,Mon Oct 17 18:06:06 2022
Linksys08969_5GHz,14:91:82:5D:7B:44,WPA+AES-CCM WPA+PSK,WPA2,198,0,45.446600,-71.958077,Mon Oct 17 18:01:32 2022,Mon Oct 17 18:06:05 2022
[range]_E30AJT7113120T,40:CA:63:58:25:28,WPA+AES-CCM WPA+PSK,WPA2,16,0,45.446653,-71.957878,Mon Oct 17 18:02:21 2022,Mon Oct 17 18:04:56 2022
DIRECT-4W-EPSON-ET-2720 Series,52:57:9C:94:52:C4,WPA+AES-CCM WPA+PSK,WPA2,71,0,45.446629,-71.957997,Mon Oct 17 18:01:33 2022,Mon Oct 17 18:06:05 2022
3564 oiselet,C4:41:1E:99:0C:1D,WPA+AES-CCM WPA+PSK,WPA2,178,3458,45.446593,-71.958093,Mon Oct 17 18:01:28 2022,Mon Oct 17 18:06:04 2022
3564 oiselet,C4:41:1E:99:0C:1E,WPA+AES-CCM WPA+PSK,WPA2,24,511,45.446590,-71.958096,Mon Oct 17 18:02:22 2022,Mon Oct 17 18:06:06 2022
3564 oiselet,C4:41:1E:99:0D:3A,WPA+AES-CCM WPA+PSK,WPA2,288,13792,45.446585,-71.958113,Mon Oct 17 18:01:28 2022,Mon Oct 17 18:06:06 2022
3564 oiselet,C4:41:1E:99:0D:3C,WPA+AES-CCM WPA+PSK,WPA2,155,3921,45.446593,-71.958094,Mon Oct 17 18:01:31 2022,Mon Oct 17 18:06:07 2022
3564 oiselet,C4:41:1E:99:0E:9D,WPA+AES-CCM WPA+PSK,WPA2,255,8950,45.446593,-71.958100,Mon Oct 17 18:01:28 2022,Mon Oct 17 18:06:06 2022
3564 oiselet,C4:41:1E:99:0E:9E,WPA+AES-CCM WPA+PSK,WPA2,118,2254,45.446596,-71.958070,Mon Oct 17 18:01:29 2022,Mon Oct 17 18:06:07 2022
3564 oiselet,C4:41:1E:99:0E:9F,WPA+AES-CCM WPA+PSK,WPA2,151,4560,45.446593,-71.958094,Mon Oct 17 18:01:31 2022,Mon Oct 17 18:06:07 2022
Cloaked,CA:41:1E:99:0C:1D,WPA+AES-CCM WPA+PSK,WPA2,53,0,45.446579,-71.958101,Mon Oct 17 18:01:31 2022,Mon Oct 17 18:06:04 2022
Cloaked,CA:41:1E:99:0D:3A,WPA+AES-CCM WPA+PSK,WPA2,153,0,45.446604,-71.958071,Mon Oct 17 18:01:28 2022,Mon Oct 17 18:06:06 2022
Cloaked,CA:41:1E:99:0E:9D,WPA+AES-CCM WPA+PSK,WPA2,158,0,45.446596,-71.958095,Mon Oct 17 18:01:28 2022,Mon Oct 17 18:06:05 2022
